# timestamp tx ty tz qx qy qz qw
1403715273.262142897 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.312143087 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.362143040 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.412142992 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.462142944 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.512143135 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.562143087 1.104762 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.612143040 1.104760 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.662142992 1.104759 -0.168310 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.712143183 1.104758 -0.168310 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.762142897 1.104758 -0.168310 1.124250 0.000000 0.000000 0.000000 1.000000
1403715273.812143087 1.104759 -0.168310 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.862143040 1.104761 -0.168309 1.124251 0.000000 0.000000 0.000000 1.000000
1403715273.912142992 1.104761 -0.168309 1.124252 0.000000 0.000000 0.000000 1.000000
1403715273.962142944 1.104759 -0.168310 1.124251 0.000000 0.000000 0.000000 1.000000
1403715274.012143135 1.104753 -0.168312 1.124250 0.000000 0.000000 0.000000 1.000000
1403715274.062143087 1.104753 -0.168312 1.124252 0.000000 0.000000 0.000000 1.000000
1403715274.112143040 1.104753 -0.168312 1.124255 0.000000 0.000000 0.000000 1.000000
1403715274.162142992 1.104756 -0.168311 1.124257 0.000000 0.000000 0.000000 1.000000
1403715274.212143183 1.104761 -0.168310 1.124259 0.000000 0.000000 0.000000 1.000000
1403715274.262142897 1.104764 -0.168309 1.124258 0.000000 0.000000 0.000000 1.000000
1403715274.312143087 1.104765 -0.168308 1.124256 0.000000 0.000000 0.000000 1.000000
1403715274.362143040 1.104765 -0.168308 1.124256 0.000000 0.000000 0.000000 1.000000
1403715274.412142992 1.104764 -0.168308 1.124254 0.000000 0.000000 0.000000 1.000000
1403715274.462142944 1.104764 -0.168308 1.124254 0.000000 0.000000 0.000000 1.000000
1403715274.512143135 1.104764 -0.168308 1.124253 0.000000 0.000000 0.000000 1.000000
1403715274.562143087 1.104765 -0.168308 1.124254 0.000000 0.000000 0.000000 1.000000
1403715274.612143040 1.104766 -0.168308 1.124253 0.000000 0.000000 0.000000 1.000000
1403715274.662142992 1.104767 -0.168307 1.124252 0.000000 0.000000 0.000000 1.000000
1403715274.712143183 1.104767 -0.168307 1.124252 0.000000 0.000000 0.000000 1.000000
1403715274.762142897 1.104767 -0.168307 1.124251 0.000000 0.000000 0.000000 1.000000
1403715274.812143087 1.104766 -0.168307 1.124251 0.000000 0.000000 0.000000 1.000000
1403715274.862143040 1.104766 -0.168308 1.124251 0.000000 0.000000 0.000000 1.000000
1403715274.912142992 1.104766 -0.168308 1.124251 0.000000 0.000000 0.000000 1.000000
1403715274.962142944 1.104766 -0.168308 1.124251 0.000000 0.000000 0.000000 1.000000
1403715275.012143135 1.104766 -0.168308 1.124251 0.000000 0.000000 0.000000 1.000000
1403715275.062143087 1.104765 -0.168308 1.124251 0.000000 0.000000 0.000000 1.000000
1403715275.112143040 1.104766 -0.168308 1.124250 0.000000 0.000000 0.000000 1.000000
